2022-09-10_22:44:53		successfully found records to mongo
2022-09-10_22:45:03		Got Mongo client object created
2022-09-10_22:45:06		Database is present
2022-09-10_22:45:06		Got Mongo client object created
2022-09-10_22:45:06		Got Database successfully!!
2022-09-10_22:45:08		Collection is not present in  Mongo
2022-09-10_22:45:08		Got Mongo client object created
2022-09-10_22:45:10		Database is present
2022-09-10_22:45:10		Got Mongo client object created
2022-09-10_22:45:10		Got Database successfully!!
2022-09-10_22:45:12		Collection is not present in  Mongo
2022-09-10_22:45:13		Got Mongo client object created
2022-09-10_22:45:13		Got Database successfully!!
2022-09-10_22:45:13		Got database collection successfully!!
2022-09-10_22:45:15		inserted records from csv to Mongo connection
2022-09-10_22:45:15		inserted records from csv to Mongo connection
2022-09-10_22:45:16		inserted records from csv to Mongo connection
2022-09-10_22:45:16		inserted records from csv to Mongo connection
2022-09-10_22:45:16		inserted records from csv to Mongo connection
2022-09-10_22:45:16		inserted records from csv to Mongo connection
2022-09-10_22:45:17		inserted records from csv to Mongo connection
2022-09-10_22:45:17		inserted records from csv to Mongo connection
2022-09-10_22:45:17		inserted records from csv to Mongo connection
2022-09-10_22:45:17		inserted records from csv to Mongo connection
2022-09-10_22:45:18		inserted records from csv to Mongo connection
2022-09-10_22:45:18		inserted records from csv to Mongo connection
2022-09-10_22:45:18		inserted records from csv to Mongo connection
2022-09-10_22:45:18		inserted records from csv to Mongo connection
2022-09-10_22:45:19		inserted records from csv to Mongo connection
2022-09-10_22:45:19		inserted records from csv to Mongo connection
2022-09-10_22:45:19		inserted records from csv to Mongo connection
2022-09-10_22:45:20		inserted records from csv to Mongo connection
2022-09-10_22:45:20		inserted records from csv to Mongo connection
2022-09-10_22:45:20		inserted records from csv to Mongo connection
2022-09-10_22:45:20		inserted records from csv to Mongo connection
2022-09-10_22:45:21		inserted records from csv to Mongo connection
2022-09-10_22:45:21		inserted records from csv to Mongo connection
2022-09-10_22:45:21		inserted records from csv to Mongo connection
2022-09-10_22:45:21		inserted records from csv to Mongo connection
2022-09-10_22:45:22		inserted records from csv to Mongo connection
2022-09-10_22:45:22		inserted records from csv to Mongo connection
2022-09-10_22:45:22		inserted records from csv to Mongo connection
2022-09-10_22:45:22		inserted records from csv to Mongo connection
2022-09-10_22:45:23		inserted records from csv to Mongo connection
2022-09-10_22:45:23		Got Mongo client object created
2022-09-10_22:45:25		Database is present
2022-09-10_22:45:25		Got Mongo client object created
2022-09-10_22:45:25		Got Database successfully!!
2022-09-10_22:45:27		collection is present in mongo
2022-09-10_22:45:27		Got Mongo client object created
2022-09-10_22:45:27		Got Database successfully!!
2022-09-10_22:45:27		Got database collection successfully!!
2022-09-10_22:45:27		successfully found records to mongo
2022-09-10_22:45:13		Converted to the dataframe
2022-09-10_22:45:13		Converted to the csv
2022-09-10_22:45:30		Converted to the csv
